사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022080500100293,2022년 8월 5일 14시,금요일,전라북도 전주시 완산구 서신동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,60세,상해없음,승용,여,38세,경상
2022080500100294,2022년 8월 5일 14시,금요일,전라북도 전주시 완산구 서신동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,47세,상해없음,승용,여,53세,경상
2022080500100295,2022년 8월 5일 14시,금요일,전라북도 전주시 덕진구 인후동1가,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,31세,경상
2022080500100533,2022년 8월 5일 20시,금요일,전라북도 전주시 덕진구 송천동1가,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,승합,남,23세,상해없음
2022080600100293,2022년 8월 6일 15시,토요일,전라북도 전주시 완산구 상림동,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,,,,
2022080600100326,2022년 8월 6일 16시,토요일,전라북도 전주시 완산구 원당동,경상사고,0,0,4,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승합,여,47세,경상,승합,남,70세,상해없음
2022080600100404,2022년 8월 6일 19시,토요일,전라북도 전주시 완산구 서신동,중상사고,0,1,0,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,70세,상해없음,이륜,남,48세,중상
2022080600100405,2022년 8월 6일 19시,토요일,전라북도 전주시 덕진구 진북동,경상사고,0,0,4,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,21세,상해없음,승용,여,32세,경상
2022080600100470,2022년 8월 6일 22시,토요일,전라북도 전주시 덕진구 호성동2가,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,64세,상해없음,승용,남,33세,경상
2022080700100037,2022년 8월 7일 05시,일요일,전라북도 전주시 완산구 풍남동1가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,59세,상해없음,보행자,여,38세,경상
2022080700100073,2022년 8월 7일 09시,일요일,전라북도 전주시 덕진구 인후동1가,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,57세,상해없음,승용,남,49세,경상
2022080700100107,2022년 8월 7일 11시,일요일,전라북도 전주시 덕진구 송천동2가,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,56세,상해없음,승합,남,50세,경상
2022080700100209,2022년 8월 7일 15시,일요일,전라북도 전주시 덕진구 호성동1가,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,46세,상해없음,승용,남,36세,경상
2022080700100304,2022년 8월 7일 19시,일요일,전라북도 전주시 완산구 중화산동1가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,66세,상해없음,보행자,남,52세,경상
